time,x,z,mag,evid,tempid
2019-03-08T17:00:54.200000Z,0.423,0.648,1.84908094025,19363,SGC2018yyczk_55024
2019-03-08T18:06:48.760000Z,0.216,0.351,1.86099754663,19364,SGC2018yyczk_34942
2019-03-08T20:08:45.930000Z,0.256,1.106,2.31080761383,19365,SGC2018yyczk_67417
2019-03-08T21:00:44.390000Z,0.218,1.037,2.25242464556,19366,SGC2018yyczk_51041
2019-03-08T21:03:37.220000Z,0.254,1.175,1.91472929839,19367,SGC2018yyczk_55024
2019-03-08T22:56:17.230000Z,0.151,0.147,2.19795996782,19368,SGC2018yyczk_34942
2019-03-08T23:53:46.010000Z,0.188,1.368,2.15350688447,19369,SGC2018yyczk_67417
2019-03-08T23:58:18.990000Z,0.213,1.067,1.8853140253,19370,SGC2018yyczk_55024
2019-03-09T00:11:05.130000Z,0.265,1.284,1.93112821866,19371,SGC2018yyczk_53066
2019-03-09T01:15:02.020000Z,0.191,0.701,1.87507974857,19372,SGC2018yyczk_34942
2019-03-09T02:08:20.390000Z,0.293,0.328,1.77171060252,19373,SGC2018yyczk_39307
2019-03-09T02:45:47.690000Z,0.172,1.128,1.73399736164,19374,SGC2018yyczk_67417
2019-03-09T03:13:42.770000Z,0.446,1.044,2.00027671165,19375,SGC2018yyczk_53066
2019-03-09T03:45:46.110000Z,0.236,1.053,2.01432036267,19376,SGC2018yyczk_46457
2019-03-09T04:34:27.250000Z,0.274,0.566,1.75676384393,19377,SGC2018yyczk_34942
2019-03-09 06:11:05,0.165661286819,0.918148264247,3.13,19378,SGC2018yyczk_55024
2019-03-09T07:14:17.240000Z,0.305,0.395,1.54253159838,19381,SGC2018yyczk_34942
2019-03-09T07:53:41.010000Z,0.302,0.715,1.61587121379,19382,SGC2018yyczk_51041
2019-03-09T08:00:19.790000Z,0.058,0.465,1.43450270992,19383,SGC2018yyczk_51041
2019-03-09T08:50:19.580000Z,0.297,0.951,1.98229936505,19384,SGC2018yyczk_67417
2019-03-09T08:59:28.920000Z,0.145,0.868,1.61783533806,19385,SGC2018yyczk_34942
2019-03-09T09:03:32.280000Z,0.352,1.013,2.47959136741,19386,SGC2018yyczk_57470
2019-03-09T09:55:16.100000Z,0.319,0.568,1.73741828692,19387,SGC2018yyczk_57470
2019-03-09T10:13:03.550000Z,0.38,0.382,1.67306433262,19388,SGC2018yyczk_34942
2019-03-09T10:24:13.900000Z,0.257,1.054,2.11114983377,19389,SGC2018yyczk_61409
2019-03-09T10:31:35.080000Z,0.234,0.318,1.72086297386,19390,SGC2018yyczk_51041
2019-03-09T11:33:14.730000Z,0.111,0.528,2.03007738005,19391,SGC2018yyczk_46457
2019-03-09T11:34:55.540000Z,0.22,0.465,1.88175576854,19392,SGC2018yyczk_46457
2019-03-09T11:48:34.730000Z,0.315,0.16,2.44805971176,19393,SGC2018yyczk_34942
2019-03-09T11:49:37.430000Z,0.042,0.418,2.15174532418,19396,SGC2018yyczk_34942
2019-03-09T12:35:27.760000Z,0.303,0.421,1.86157928024,19397,SGC2018yyczk_51041
2019-03-09T13:10:39.300000Z,0.227,0.746,1.74197325442,19398,SGC2018yyczk_55024
2019-03-09T15:39:45.760000Z,0.359,0.287,2.34159561802,19399,SGC2018yyczk_34942
2019-03-09T15:44:34.860000Z,0.341,0.41,2.09481814278,19400,SGC2018yyczk_46457
2019-03-09T17:12:52.580000Z,0.2,1.063,1.86149020834,19401,SGC2018yyczk_55024
2019-03-09T18:19:17.040000Z,0.279,0.536,1.77170923152,19402,SGC2018yyczk_34942
2019-03-09T19:18:01.880000Z,0.388,0.557,1.81982213605,19403,SGC2018yyczk_34942
2019-03-09T20:55:40.540000Z,0.319,0.708,2.18182645322,19404,SGC2018yyczk_34942
2019-03-09T21:46:45.000000Z,0.238,0.317,2.05090820338,19405,SGC2018yyczk_34942
2019-03-09T23:45:56.300000Z,0.175,0.555,1.9422956338,19406,SGC2018yyczk_47863
2019-03-09T23:54:13.510000Z,0.322,0.715,1.85823867858,19407,SGC2018yyczk_55024
2019-03-10T00:11:50.430000Z,0.475,0.791,1.86185679052,19408,SGC2018yyczk_55024
2019-03-10T00:44:01.370000Z,0.283,0.689,2.08922334568,19409,SGC2018yyczk_51041
2019-03-10T00:50:54.540000Z,0.305,0.973,1.8638054745,19410,SGC2018yyczk_55024
2019-03-10T02:07:52.910000Z,0.108,0.445,2.14172174453,19411,SGC2018yyczk_51041
2019-03-10T02:18:05.890000Z,0.164,1.125,2.04539367266,19412,SGC2018yyczk_55024
2019-03-10T02:46:18.260000Z,0.171,0.557,2.00855680197,19413,SGC2018yyczk_51041
2019-03-10T05:21:25.580000Z,0.24,1.164,2.05855248859,19414,SGC2018yyczk_67417
2019-03-10T05:29:09.730000Z,0.215,0.256,1.76258287619,19415,SGC2018yyczk_51041
2019-03-10T05:57:29.170000Z,0.243,0.316,1.72060480904,19416,SGC2018yyczk_57470
2019-03-10T05:59:29.510000Z,0.26,0.622,1.76166055839,19417,SGC2018yyczk_51041
2019-03-10T06:04:46.940000Z,0.279,0.673,1.65972683434,19418,SGC2018yyczk_46457
2019-03-10T06:15:35.090000Z,0.162,0.265,1.64454466724,19419,SGC2018yyczk_34942
2019-03-10T06:22:08.700000Z,0.392,0.062,1.49915504151,19422,SGC2018yyczk_51041
2019-03-10T06:49:45.620000Z,0.163,0.292,1.67201516238,19423,SGC2018yyczk_51041
2019-03-10T07:06:14.030000Z,0.145,0.837,1.63084226814,19424,SGC2018yyczk_53066
2019-03-10T09:33:33.270000Z,0.242,0.849,1.62321270906,19425,SGC2018yyczk_56808
2019-03-10T10:21:55.930000Z,0.364,1.054,1.54064945826,19426,SGC2018yyczk_55024
2019-03-10T10:23:34.820000Z,0.326,0.743,1.55696203267,19427,SGC2018yyczk_55024
2019-03-10T11:30:34.080000Z,0.297,0.427,1.82479303456,19428,SGC2018yyczk_34942
2019-03-10T14:58:14.680000Z,0.313,0.526,2.2943446429,19430,SGC2018yyczk_34942
2019-03-10 16:15:26,0.217671906574,0.498648653337,3.13,19432,SGC2018yyczk_46457
2019-03-10T17:55:27.500000Z,0.387,0.754,2.15707601624,19433,SGC2018yyczk_46457
2019-03-10T19:10:20.220000Z,0.203,1.085,1.56501406823,19436,SGC2018yyczk_55024
2019-03-10T19:21:35.020000Z,0.381,0.739,1.93439609635,19437,SGC2018yyczk_46457
2019-03-10T19:26:28.340000Z,0.235,0.741,1.70953237042,19438,SGC2018yyczk_34942
2019-03-10T22:27:26.080000Z,0.259,0.787,1.72501053519,19439,SGC2018yyczk_34942
2019-03-10T22:56:41.030000Z,0.208,0.339,1.96783473361,19440,SGC2018yyczk_51041
2019-03-10T23:03:45.990000Z,0.062,0.644,1.75180963328,19441,SGC2018yyczk_46457
2019-03-10T23:29:46.050000Z,0.165,0.489,2.72651092245,19442,SGC2018yyczk_51041
2019-03-11T00:30:07.960000Z,0.34,1.01,1.47732983838,19443,SGC2018yyczk_55024
2019-03-11T01:43:03.020000Z,0.328,0.896,1.50205172708,19444,SGC2018yyczk_55024
2019-03-11T02:51:02.120000Z,0.291,0.604,1.79313512603,19445,SGC2018yyczk_51041
2019-03-11T03:33:50.490000Z,0.239,0.458,1.75406466311,19446,SGC2018yyczk_34942
2019-03-11T04:40:33.040000Z,0.199,0.745,1.60993770259,19449,SGC2018yyczk_55024
2019-03-11T05:05:36.000000Z,0.155,0.588,1.5927980442,19450,SGC2018yyczk_34942
2019-03-11T05:08:31.700000Z,0.201,0.63,1.52714085926,19451,SGC2018yyczk_56808
2019-03-11T05:16:02.090000Z,0.259,1.222,1.83497700955,19452,SGC2018yyczk_56808
2019-03-11T05:38:25.440000Z,0.187,0.748,2.11487027724,19453,SGC2018yyczk_47863
2019-03-11T05:52:51.840000Z,0.377,0.698,1.84368471638,19454,SGC2018yyczk_47863
2019-03-11T06:31:47.800000Z,0.235,0.722,1.3621403915,19457,SGC2018yyczk_55024
2019-03-11T07:32:48.420000Z,0.287,0.69,1.50760197996,19458,SGC2018yyczk_55024
2019-03-11T07:57:50.450000Z,0.355,1.075,1.4222671099,19459,SGC2018yyczk_55024
2019-03-11T08:44:54.730000Z,0.156,1.03,1.34679659218,19460,SGC2018yyczk_55024
2019-03-11T09:43:47.550000Z,0.142,0.944,2.5670043819,19461,SGC2018yyczk_62486
2019-03-11T09:45:43.600000Z,0.188,1.217,1.66000851087,19462,SGC2018yyczk_53066
2019-03-11T10:00:35.930000Z,0.421,0.903,1.58226333049,19463,SGC2018yyczk_55024
2019-03-11T11:29:50.210000Z,0.302,0.621,1.69464640811,19464,SGC2018yyczk_34942
2019-03-11T11:42:14.170000Z,0.437,0.448,2.03513369824,19465,SGC2018yyczk_51041
2019-03-11T14:43:14.970000Z,0.183,0.587,2.21603135777,19466,SGC2018yyczk_51041
2019-03-11T15:41:02.080000Z,0.118,0.467,2.19612314706,19467,SGC2018yyczk_51041
2019-03-11T15:41:12.780000Z,0.189,0.373,2.22701828332,19468,SGC2018yyczk_51041
2019-03-11T17:20:14.900000Z,0.335,0.824,1.94037287024,19469,SGC2018yyczk_55024
2019-03-11T17:25:10.170000Z,0.194,0.344,1.7259417788,19470,SGC2018yyczk_34942
2019-03-11T17:38:00.410000Z,0.224,1.226,2.00833092059,19472,SGC2018yyczk_55024
2019-03-11T18:18:55.180000Z,0.093,0.565,2.3279330335,19473,SGC2018yyczk_51041
2019-03-11T19:44:51.680000Z,0.29,0.294,1.82675641826,19475,SGC2018yyczk_46457
2019-03-11T21:55:45.010000Z,0.303,0.318,2.33018770087,19476,SGC2018yyczk_51041
2019-03-11T22:14:45.420000Z,0.253,0.46,2.1817113743,19477,SGC2018yyczk_51041
2019-03-11T22:34:58.770000Z,0.304,0.169,1.88163048159,19478,SGC2018yyczk_34942
2019-03-11T23:36:27.970000Z,0.255,0.5,2.26185296586,19479,SGC2018yyczk_51041
2019-03-11T23:54:17.980000Z,0.197,0.786,2.06109779348,19480,SGC2018yyczk_56808
2019-03-12T02:13:13.950000Z,0.27,0.097,2.48583751423,19481,SGC2018yyczk_34942
2019-03-12T02:15:38.290000Z,0.278,0.341,2.05264575665,19484,SGC2018yyczk_34942
2019-03-12T02:56:59.210000Z,0.138,1.051,1.5538296015,19486,SGC2018yyczk_55024
2019-03-12T05:44:12.760000Z,0.168,0.665,1.77414489446,19487,SGC2018yyczk_34942
2019-03-12T05:47:56.630000Z,0.069,0.412,1.16977614865,19488,SGC2018yyczk_34942
2019-03-12T06:09:48.030000Z,0.236,0.553,1.25277479289,19489,SGC2018yyczk_46457
2019-03-12T06:15:08.920000Z,0.19,0.722,1.26362232392,19490,SGC2018yyczk_46457
2019-03-12T07:49:27.190000Z,0.117,0.369,1.88405853499,19491,SGC2018yyczk_34942
2019-03-12T11:38:33.300000Z,0.306,0.349,1.50549425672,19493,SGC2018yyczk_34942
2019-03-12T11:57:21.380000Z,0.218,0.537,1.71200307121,19494,SGC2018yyczk_46457
2019-03-12T12:10:47.400000Z,0.2,0.846,1.54536135758,19495,SGC2018yyczk_55024
2019-03-12T12:54:06.920000Z,0.358,0.897,2.22599357963,19496,SGC2018yyczk_53066
2019-03-12T13:48:58.100000Z,0.243,0.833,1.74411593142,19498,SGC2018yyczk_69884
2019-03-12T13:51:10.060000Z,0.246,1.055,2.28466317174,19499,SGC2018yyczk_53066
2019-03-12T14:58:03.920000Z,0.239,0.581,1.91537139341,19500,SGC2018yyczk_51041
2019-03-12T16:07:49.770000Z,0.364,0.683,1.49280791214,19501,SGC2018yyczk_46457
2019-03-12T16:27:36.320000Z,0.328,0.156,1.83903778848,19502,SGC2018yyczk_51041
2019-03-12T16:33:33.730000Z,0.358,0.232,1.35436216504,19503,SGC2018yyczk_34942
2019-03-12T18:54:04.470000Z,0.133,0.926,1.48153057821,19504,SGC2018yyczk_46457
2019-03-12T19:20:26.230000Z,0.406,0.558,1.52520334817,19505,SGC2018yyczk_46457
2019-03-12T22:07:20.010000Z,0.17,0.786,1.76383112372,19506,SGC2018yyczk_45482
2019-03-12T23:14:25.620000Z,0.271,0.434,1.69003362608,19507,SGC2018yyczk_46457
2019-03-12T23:27:34.580000Z,0.388,1.164,1.84304771529,19508,SGC2018yyczk_55024
2019-03-13T04:52:27.690000Z,0.197,0.762,1.92807286222,19509,SGC2018yyczk_51041
